Nom,Métier,Téléphone,Site Web,Email,Adresse,SIRET,Latitude,Longitude
"BRAUN - Türen + Fenster","window_construction","+49 7222 9353650","https://tueren-fenster-braun.de/","","17 Kaiserstraße 76437 Rastatt","",48.8564589,8.20328
"Bois & Fenêtres","window_construction","+33 7 89 52 87 49","","","","",48.5930946,7.7227837
"Rudolf Gaiser GmbH","window_construction","","","","15 Jahnstraße","",48.5584468,7.9664691
"Lohmüller Fensterbau","window_construction","+49 7223 21762","http://www.lohmueller-fenster.de/","","10 Daimlerstraße 77815 Bühl","",48.6843614,8.1154794
"Glaserei Bauer","window_construction","","","","","",48.9397725,8.277738
"Dach+Wandsysteme Montage GMBH","roofer","","https://dawamontage.de/","","21 Hauptstraße 77839 Lichtenau","",48.7209875,7.9998237
"Toreilles Toitures","roofer","","","","","",49.0175885,7.9688386
"Logireno","window_construction","","","","","",48.7303917,7.71108
"Tryba","window_construction","","","","","",48.5231089,7.6910418
"S&G","window_construction","","","","4 Steinbruchweg 76534 Baden-Baden","",48.7409881,8.2576767
"König Fenster","window_construction","+49 7843 94670","https://www.koenigfenster.de/","info@koenigfenster.de","3 Vogesenstraße 77871 Renchen","",48.5836624,8.0042052
"Rejsek","roofer","+49 7843 9951223","https://rejsek.com/","mail@rejsek.de","3 Hornisgrindestraße 77871 Renchen","",48.5857313,8.0027461
"PACA FERMETURES","window_construction","+33 6 46 17 01 90","","","","",48.368968,7.5831244
"Europ Etancheité","roofer","+33 3 88 98 51 33","https://www.europetancheite.net/","","4","",48.4831229,7.7251498
"FMS","window_construction","","https://www.fmsmenuiseries.eu/","","7","42193247600045",48.4850196,7.7249873
"Formdetoit","roofer","+33 3 88 75 66 53","https://formdetoit.fr/","","4","82954566400031",48.4803907,7.7243659
"Exeo","roofer","","","","","85307225400016",48.4844284,7.7241335
"Arnoldt Badischer Glashandel","window_construction","+49 7852 91760","https://www.badischer-glashandel.de/","","2 Industriegebiet 77731","",48.5382275,7.9157782
"Weiß u. Sohn","window_construction","","","","62 Rue des Potiers","",48.8997753,7.8919776
"DachGeschwister","roofer","+49 176 31587284","https://dachgeschwister.de/","info@dachgeschwister.de","8 Rosenstraße 76473 Iffezheim","",48.8213361,8.1494125
"Lutz PVC & Aluminium","window_construction","","https://lutz-pvc.fr/","","","",48.7579899,7.3805249
"Penev Dach","roofer","+49 178 7281301","https://www.penev-dach.de/","info@penev-dach.de","15 Am Forlenspitzen 76473 Iffezheim","",48.8217382,8.1617301
"Kovacic","window_construction","","","","12 Grand'Rue 67500 Haguenau","",48.8122089,7.7862022
"Hilzinger","window_construction","+49 7852 919224","https://www.hilzinger.de/","info@hilzinger.de","4 Carl-Benz-Straße 77731 Willstätt","",48.5398488,7.9055159
"BC Couverture","roofer","+33 6 20 23 33 88","","bccouverture@gmail.com","2 Rue Bellevue 57415 Montbronn","",,
"Glaserei Peter","window_construction","","","","","",,
"Schreinerei Boschert","window_construction","+49 7837 827","www.boschert-schreinerei.de","info@boschert-schreinerei.de","27 Dorf 77784 Oberharmersbach","",,
"Hartmann Bedachungen","roofer","+49 7221 65550","","","18 Wilhelm-Drapp-Straße 76532 Baden-Baden","",,
"Berma Fensterbau","window_construction","+49 7841 20430","https://www.berma.de/","info@berma.de","73 Von-Drais-Straße 77855 Achern","",,
"kw Flach- u. Steildach GmbH","roofer","+49 7221 9721160","http://kw-dach.de/","info@kw-dach.de","36 Im Rollfeld 76532 Baden-Baden","",,
"Fensterbau Ullrich","window_construction","+49 7222 158710","https://fensterbau-ullrich.de","","1 Rotackerstraße 76437 Rastatt","",,
"Fensterbau Kininger Wölfl","window_construction","","","","25 Severinstraße 77855 Achern","",,
"Schwarz-Fensterbau","window_construction","","","","4 Flößerstraße 77723 Gengenbach","",,
"Friedmann Fenster und Türen","window_construction","","","","1 Mühlbachstraße 77833 Ottersweier","",,
"K. R. Riehle","roofer","","","","1 Lochmatt 77880 Sasbach","",,
"Möstel Bedachungen","roofer","+49 7851 3501","https://www.moestel-bedachungen.de/","info@moestel-bedachungen.de","46 Neudorfstraße 77694 Kehl","",,
"Bieber P.V.C.","window_construction","+33 3 90 22 71 10","https://www.bieber-pvc.com/","contact@bieber-pvc.com","","",,
"Lorenove Troyes","window_construction","+333 25 43 03 52","https://www.fenetres-lorenove.fr/reseau/troyes","","47 Rue André Beury 10000 Troyes","",48.2910253,4.0757916
"Mistermenuiserie Pont Sainte-Marie","window_construction","+33 3 25 70 51 59","","","","",48.3258094,4.1109423
"BRC","window_construction","","","","","",48.9416249,4.3893197
"Perrier","window_construction","","","","","",48.7221078,4.5997126
"Menuiserie Margueron","window_construction","","","","","",48.7236665,4.6028652
"Menuiserie Gorka","window_construction","","","","","",48.7241337,4.6024424
"L'Expert Fenêtre","window_construction","","","","","",48.7252631,4.6005499
"Miclo","window_construction","","","","","",48.7264192,4.5843924
"Est Habitat 55","window_construction","+33 3 29 79 07 34","https://www.habitat55-fenetres.fr/","","151 Rue de Saint-Mihiel - Voie Sacrée 55000 Bar-le-Duc","",48.7773936,5.1796655
"Menuiserie Jeanjean","window_construction","+33 3 29 75 64 78","https://www.jeanjan-pere-fils.com/","","5 Rue Louise Weiss 55000 Bar-le-Duc","",48.7590285,5.1871884
"Tecniver - Morel","window_construction","+33 3 29 79 23 54","","","55000 Longeville-en-Barrois","",48.7528192,5.1947214
"Colson Toiture","roofer","+33 6 48 10 21 59","https://colson-toiture.fr/","colson.claude@hotmail.com","31 Rue André Theuriet 55000 Bar le Duc","",48.7736011,5.1642488
"Menuiserie Castellar","window_construction","+33 3 29 76 18 75","https://www.castellar-menuiserie-meuse.com/","","8 ter Avenue de la Libération 55000 Fains-Véel","",48.7964643,5.1263505
"Fenêtres du Barrois","window_construction","+33 3 29 46 13 28","https://www.fenetresdubarrois.com/","","","97810433900020",48.796251,5.12706
"Menuiserie Pierre et Fils","window_construction","+33 3 29 78 22 05","https://www.menuiserie-pierre-et-fils.fr/","","8 Rue de Nançois 55000 Velaines","",48.7068294,5.2976096
"Jeanson","roofer","","","","","",49.2768393,4.0576394
"Campi","roofer","+33 3 26 47 26 09","","","12 Rue des Moissons","",49.3005632,4.1294975
