Métier,Nom,Dirigeant,Adresse,Code Postal,Ville,SIREN,SIRET,Date Création,Effectif,RGE
Couvreurs,"ENTREPRISE CHARLES SCHOENENBERGER","","11 RUE D'ALTKIRCH 68000 COLMAR",68000,COLMAR,916510258,91651025800061,1965-01-01,21,Oui
Couvreurs,"JULIEN DEGOUY (DEGOUY PATRIMOINE)","JULIEN BERNARD DENIS DEGOUY (DEGOUY)","49 RUE GUSTAVE MASSON 10000 TROYES",10000,TROYES,825305501,82530550100017,2017-02-01,02,Oui
Couvreurs,"TORREILLES CONSTRUCTION BOIS (TORREILLES TOITURES - TORREILLES CONSTRUCTION)","CLEMENT TORREILLES (TORREILLES)","ZONE ARTISANALE LINCHAMPS BAS 54280 CHAMPENOUX",54280,CHAMPENOUX,793366725,79336672500034,2013-05-27,12,Oui
Couvreurs,"COANUS COUVERTURE","","6 RUE DE LORRAINE 88150 IGNEY",88150,IGNEY,338337876,33833787600019,1986-01-01,21,Oui
Couvreurs,"ALLAIS COUVERTURE","JEAN-MICHEL ALLAIS (ALLAIS)","8 RUE DES SORBIERS 52130 WASSY",52130,WASSY,510330897,51033089700016,2009-01-20,01,Non
Couvreurs,"BONNET","NATACHA BERNADETTE ALBERTINE BONNET (THIEBAUT)","84 RUE DU GILLIARD 10330 CHAVANGES",10330,CHAVANGES,847984242,84798424200036,2019-02-01,NN,Non
Couvreurs,"ENTREPRISE COUVR TOIT","EMMANUEL CUTAJAR (CUTAJAR)","15 AVENUE DU GENERAL DE GAULLE 54280 SEICHAMPS",54280,SEICHAMPS,498672724,49867272400040,2007-06-05,12,Oui
Couvreurs,"ENTREPRISE EISENBARTH","MARC EISENBARTH (EISENBARTH)","1 PLACE DU MARCHE 57540 PETITE-ROSSELLE",57540,PETITE-ROSSELLE,657080156,65708015600034,1970-01-01,NN,Non
Couvreurs,"STRUCTUR","TONY JULIEN EDOUARD GARRIDO","1 T RUE JACQUES MURGIER 51100 REIMS",51100,REIMS,993672260,99367226000045,2025-11-06,NN,Non
Couvreurs,"TOITURES DERVOISES","LAURENT MAILLARD (MAILLARD)","28 HAM HAMEAU DU VOY 52220 RIVES DERVOISES",52220,RIVES DERVOISES,492084819,49208481900019,2006-09-11,NN,Non
Couvreurs,"ADONIS (JADORE RENOVATION-JADORE TOITURE)","SAMSON PONCET (PONCET)","9 PLACE KLEBER 67000 STRASBOURG",67000,STRASBOURG,424625788,42462578800098,1999-09-18,01,Non
Couvreurs,"COUV'ECO (COUV'ECO)","JÉRÉMY NICOLAS JULIEN PONSOT","25 RUE DES TILLEULS 57870 HARREBERG",57870,HARREBERG,948139514,94813951400012,2023-01-12,01,Non
Couvreurs,"GLAIS DIDIER","","63 RUE DU 27 AOUT 1944 10270 MONTREUIL-SUR-BARSE",10270,MONTREUIL-SUR-BARSE,494116163,49411616300010,2007-02-01,12,Non
Couvreurs,"STEVE CHRISTMANN","STEVE CHRISTMANN (CHRISTMANN)","35 RUE DU BOIS DE LA VILLE 57855 SAINT-PRIVAT-LA-MONTAGNE",57855,SAINT-PRIVAT-LA-MONTAGNE,418614988,41861498800073,1998-05-02,NN,Non
